%HTA01.xlt		3 mS Echo Tracking			
%c-PRE	c-DIAM	c-ECG	f-PRE	f-DIAM	f-ECG
122.6797409	6.210999966	-0.072039999	115.560318	8.649000168	0.128199995
122.6153488	6.210999966	-0.069600001	115.560318	8.649000168	0.135499999
122.5724258	6.210999966	-0.069600001	115.560318	8.649000168	0.145300001
122.4651031	6.210000038	-0.069600001	115.560318	8.647999763	0.152600005
122.4007111	6.206999779	-0.067160003	115.560318	8.647000313	0.162400007
122.3148575	6.203999996	-0.064709999	115.560318	8.647000313	0.172199994
122.2504578	6.202000141	-0.064709999	115.560318	8.647000313	0.179499999
122.1431427	6.199999809	-0.067160003	115.560318	8.645999908	0.186800003
122.1002197	6.197999954	-0.064709999	115.560318	8.647000313	0.196600005
121.992897	6.196000099	-0.067160003	115.560318	8.645999908	0.203899994
121.9285049	6.193999767	-0.067160003	115.560318	8.645999908	0.213699996
121.7782516	6.191999912	-0.069600001	115.560318	8.645999908	0.221000001
121.7353287	6.190000057	-0.067160003	115.560318	8.645999908	0.225899994
121.5636139	6.18900013	-0.067160003	115.560318	8.645999908	0.230800003
121.4133682	6.18599987	-0.067160003	115.560318	8.645999908	0.235699996
121.2631226	6.184000015	-0.067160003	115.560318	8.645999908	0.243000001
121.1557999	6.181000233	-0.067160003	115.560318	8.645999908	0.247899994
121.0484772	6.178999901	-0.069600001	115.560318	8.645999908	0.252700001
120.8338394	6.178999901	-0.069600001	115.560318	8.645999908	0.255199999
120.6192017	6.176000118	-0.069600001	115.560318	8.645000458	0.255199999
120.4689484	6.175000191	-0.067160003	115.5174637	8.645000458	0.255199999
120.2543106	6.173999786	-0.067160003	115.560318	8.645000458	0.255199999
120.0611343	6.171999931	-0.067160003	115.560318	8.644000053	0.25029999
119.8464966	6.171000004	-0.067160003	115.560318	8.644000053	0.247899994
119.6747818	6.170000076	-0.067160003	115.5174637	8.644000053	0.240500003
119.5245361	6.168000221	-0.069600001	115.5174637	8.642999649	0.230800003
119.3098984	6.166999817	-0.067160003	115.560318	8.642999649	0.218600005
119.1167221	6.166999817	-0.064709999	115.560318	8.642000198	0.211199999
118.8376923	6.166999817	-0.067160003	115.560318	8.642000198	0.199000001
118.644516	6.166999817	-0.062270001	115.5174637	8.642000198	0.189300001
118.3654785	6.168000221	-0.064709999	115.5174637	8.642000198	0.172199994
118.1723022	6.170000076	-0.062270001	115.5174637	8.640999794	0.157499999
117.9576645	6.172999859	-0.067160003	115.5174637	8.640000343	0.140400007
117.8074188	6.177999973	-0.067160003	115.560318	8.640000343	0.128199995
117.635704	6.184000015	-0.064709999	115.560318	8.638999939	0.111100003
117.4210663	6.190999985	-0.067160003	115.5174637	8.637999535	0.091580003
117.22789	6.199999809	-0.064709999	115.5174637	8.637999535	0.074479997
117.0132523	6.210000038	-0.064709999	115.5174637	8.637000084	0.059829999
116.7986145	6.221000195	-0.062270001	115.5174637	8.637000084	0.042739999
116.5839691	6.232999802	-0.062270001	115.560318	8.63599968	0.02808
116.4337234	6.243999958	-0.062270001	115.560318	8.63599968	0.015869999
116.2834778	6.256999969	-0.062270001	115.5174637	8.635000229	0.001221
116.0688324	6.269999981	-0.062270001	115.5174637	8.635000229	-0.01343
115.8541946	6.282999992	-0.059829999	115.5174637	8.635000229	-0.0232
115.6395569	6.295000076	-0.059829999	115.5174637	8.633999825	-0.035409998
115.4893036	6.308000088	-0.059829999	115.560318	8.635000229	-0.042739999
115.2317352	6.320000172	-0.059829999	115.560318	8.63599968	-0.052499998
115.0170975	6.333000183	-0.057390001	115.5174637	8.637000084	-0.059829999
114.8668518	6.346000195	-0.057390001	115.5174637	8.638999939	-0.069600001
114.7595291	6.357999802	-0.057390001	115.560318	8.640999794	-0.074479997
114.5448914	6.370999813	-0.057390001	115.560318	8.644000053	-0.079369999
114.3946381	6.381999969	-0.057390001	115.560318	8.647000313	-0.084250003
114.1800003	6.394000053	-0.054949999	115.5174637	8.649999619	-0.091580003
113.9653625	6.40500021	-0.057390001	115.5174637	8.652999878	-0.09646
113.8151169	6.416999817	-0.054949999	115.5174637	8.656000137	-0.098899998
113.6648712	6.427999973	-0.054949999	115.560318	8.659999847	-0.101300001
113.4931488	6.438000202	-0.057390001	115.560318	8.663999557	-0.103799999
113.3858337	6.447000027	-0.057390001	115.5174637	8.668000221	-0.106200002
113.2999725	6.455999851	-0.057390001	115.5174637	8.673000336	-0.106200002
113.1282654	6.462999821	-0.057390001	115.5174637	8.67800045	-0.111100003
112.9136276	6.468999863	-0.057390001	115.560318	8.682999611	-0.111100003
112.763382	6.473999977	-0.054949999	115.560318	8.687999725	-0.111100003
112.5487366	6.479000092	-0.054949999	115.560318	8.69299984	-0.113600001
112.3984909	6.482999802	-0.054949999	115.5174637	8.699000359	-0.113600001
112.2911682	6.486999989	-0.057390001	115.5174637	8.704999924	-0.115999997
112.1409225	6.491000175	-0.054949999	115.5174637	8.711999893	-0.115999997
112.0335999	6.493999958	-0.054949999	115.560318	8.718000412	-0.113600001
111.8833542	6.495999813	-0.057390001	115.560318	8.725999832	-0.113600001
111.7116394	6.5	-0.052499998	115.560318	8.732999802	-0.113600001
